TICKER,SHORT_NAME,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
PLUG UR Equity,PLUG POWER INC,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
PLUS UW Equity,EPLUS INC,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Technology Distributors
PLXS UW Equity,PLEXUS CORP,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Manufacturing Servi
PM UN Equity,PHILIP MORRIS IN,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
PMBC UW Equity,PACIFIC MERCANTL,Financials,Banks,Banks,Regional Banks
PMT UN Equity,PENNYMAC MORTGAG,Financials,Diversified Financials,Mortgage Real Estate Investmen,Mortgage REITs
PNC UN Equity,PNC FINANCIAL SE,Financials,Banks,Banks,Regional Banks
PNFP UW Equity,PINNACLE FINL,Financials,Banks,Banks,Regional Banks
PNM UN Equity,PNM RESOURCES,Utilities,Utilities,Electric Utilities,Electric Utilities
PNR UN Equity,PENTAIR PLC,Industrials,Capital Goods,Machinery,Industrial Machinery
PNRG UR Equity,PRIMEENERGY RESO,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
PNTG UW Equity,PENNANT GROUP,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Facilities
PNW UN Equity,PINNACLE WEST,Utilities,Utilities,Electric Utilities,Electric Utilities
PODD UW Equity,INSULET CORP,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
POL UN Equity,POLYONE CORP,Materials,Materials,Chemicals,Specialty Chemicals
POOL UW Equity,POOL CORP,Consumer Discretionary,Retailing,Distributors,Distributors
POR UN Equity,PORTLAND GENERAL,Utilities,Utilities,Electric Utilities,Electric Utilities
POST UN Equity,POST HOLDINGS IN,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
POWI UW Equity,POWER INTEGRATIO,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
POWL UW Equity,POWELL INDS INC,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
PPBI UW Equity,PACIFIC PREMIER,Financials,Banks,Banks,Regional Banks
PPC UW Equity,PILGRIM'S PRIDE,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
PPG UN Equity,PPG INDS INC,Materials,Materials,Chemicals,Specialty Chemicals
PPL UN Equity,PPL CORP,Utilities,Utilities,Electric Utilities,Electric Utilities
PQG UN Equity,PQ GROUP HOLDING,Materials,Materials,Chemicals,Specialty Chemicals
PRA UN Equity,PROASSURANCE COR,Financials,Insurance,Insurance,Property & Casualty Insurance
PRAA UW Equity,PRA GROUP INC,Financials,Diversified Financials,Consumer Finance,Consumer Finance
PRAH UW Equity,PRA HEALTH SCIEN,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
PRDO UW Equity,PERDOCEO EDUCATI,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
PRFT UW Equity,PERFICIENT INC,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
PRGO UN Equity,PERRIGO CO PLC,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
PRGS UW Equity,PROGRESS SOFTWAR,Information Technology,Software & Services,Software,Systems Software
PRGX UW Equity,PRGX GLOBAL INC,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S
PRI UN Equity,PRIMERICA INC,Financials,Insurance,Insurance,Life & Health Insurance
PRIM UW Equity,PRIMORIS SERVICE,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
PRK UA Equity,PARK NATL CORP,Financials,Banks,Banks,Regional Banks
PRLB UN Equity,PROTO LABS INC,Industrials,Capital Goods,Machinery,Industrial Machinery
PRMW UQ Equity,PRIMO WATER CORP,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks
PRNB UW Equity,PRINCIPIA BIOPHA,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
PRO UN Equity,PROS HOLDINGS IN,Information Technology,Software & Services,Software,Application Software
PROS UN Equity,PROSIGHT GLOBAL,Financials,Insurance,Insurance,Property & Casualty Insurance
PROV UW Equity,PROVIDENT FNL HL,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
PRPL UR Equity,PURPLE INNOVATIO,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
PRSC UW Equity,PROVIDENCE SERVI,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
PRSP UN Equity,PERSPECTA INC,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
PRTA UW Equity,PROTHENA CORP PL,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
PRTH UR Equity,PRIORITY TECHNOL,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S
PRTK UQ Equity,PARATEK PHARMACE,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
PRTY UN Equity,PARTY CITY HOLDC,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
PRU UN Equity,PRUDENTL FINL,Financials,Insurance,Insurance,Life & Health Insurance
PRVL UQ Equity,PREVAIL THERAPEU,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
PS UW Equity,PLURALSIGHT IN-A,Information Technology,Software & Services,Software,Application Software
PSA UN Equity,PUBLIC STORAGE,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs
PSB UN Equity,PS BUSINESS PARK,Real Estate,Real Estate,Equity Real Estate Investment,Diversified REITs
PSMT UW Equity,PRICESMART INC,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
PSN UN Equity,PARSONS CORP,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
PSNL UQ Equity,PERSONALIS INC,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
PSTG UN Equity,PURE STORAGE-A,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
PSX UN Equity,PHILLIPS 66,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
PTC UW Equity,PTC INC,Information Technology,Software & Services,Software,Application Software
PTCT UW Equity,PTC THERAPEUTICS,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
PTE UR Equity,POLARITYTE INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
PTEN UW Equity,PATTERSON-UTI,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
PTGX UQ Equity,PROTAGONIST THER,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
PTLA UW Equity,PORTOLA PHARMACE,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
